melody.id melody.name mean.information.content
1 "0" 4.89219
2 "1" 4.2278857
3 "2" 5.43261
4 "3" 3.3448424
5 "4" 5.2097797
6 "5" 4.65837
7 "6" 4.5351405
8 "7" 2.1457117
9 "8" 5.5544343
10 "9" 6.3824525
11 "10" 6.7679753
12 "11" 4.7240443
13 "12" 3.7302654
14 "13" 5.1612177
15 "14" 4.0874767
16 "15" 5.29511
17 "16" 3.9832904
18 "17" 4.632554
19 "18" 3.9522042
20 "19" 5.358512
21 "20" 3.4290292
22 "21" 4.8114004
23 "22" 3.4711936
24 "23" 4.6989493
25 "24" 5.20074
26 "25" 5.521501
27 "26" 4.5592756
28 "27" 6.031347
29 "28" 3.8655539
30 "29" 5.072595
31 "30" 5.1778846
32 "31" 4.9434185
33 "32" 5.3409715
34 "33" 4.1722064
35 "34" 4.893649
36 "35" 3.2430112
37 "36" 4.6104846
38 "37" 5.5958767
39 "38" 3.9794993
40 "39" 2.193531
41 "40" 4.33288
42 "41" 6.111562
43 "42" 3.0534656
44 "43" 4.659121
45 "44" 4.4247103
46 "45" 4.8715324
47 "46" 4.565386
48 "47" 4.692672
49 "48" 4.7075186
50 "49" 4.015549
51 "50" 5.061049
52 "51" 3.5127764
53 "52" 5.961515
54 "53" 4.2993226
55 "54" 3.7592747
56 "55" 5.27369
57 "56" 4.0610166
58 "57" 5.2281547
59 "58" 4.4145637
60 "59" 4.7305875
61 "60" 5.464877
62 "61" 4.787866
63 "62" 3.1103787
64 "63" 3.4959383
65 "64" 5.25723
66 "65" 5.62561
67 "66" 2.8647914
68 "67" 4.934803
69 "68" 4.6237316
70 "69" 3.602123
71 "70" 3.6752756
72 "71" 4.593359
73 "72" 3.701719
74 "73" 4.8321533
75 "74" 5.39141
76 "75" 3.552193
77 "76" 4.904293
78 "77" 5.945479
79 "78" 3.2339687
80 "79" 5.9813557
81 "80" 2.415981
82 "81" 3.5180054
83 "82" 3.0234098
84 "83" 5.5908084
85 "84" 4.89138
